<<<<<<< HEAD
=======
{"Method":"POST","Path":"/users","Query params":"{}","Body":"{\"login\":\"sdfsdf@ccc.hhh\",\"name\":\"sdfsdf\",\"password\":\"12345678\"}","level":"info","message":"Request log","timestamp":"2021-01-19 09:40:53"}
{"error code":"Server Error","url":"Ocured an error in path /users","message":"userId is not defined","stack":"ReferenceError: userId is not defined\n    at registerUser (D:\\EPAM-RS\\week-0\\rsclone\\server\\src\\resources\\login\\login.service.js:37:7)\n    at processTicksAndRejections (internal/process/task_queues.js:97:5)\n    at async D:\\EPAM-RS\\week-0\\rsclone\\server\\src\\resources\\users\\user.router.js:29:19\n    at async D:\\EPAM-RS\\week-0\\rsclone\\server\\src\\errors\\catchError.js:3:12","level":"error","timestamp":"2021-01-19 09:40:54"}
{"Method":"POST","Path":"/users","Query params":"{}","Body":"{\"login\":\"sdfdsf@dffg.gfgh\",\"name\":\"sdfsdfsdrftgy\",\"password\":\"fsdfsdfsdfsdf\"}","level":"info","message":"Request log","timestamp":"2021-01-19 09:43:13"}
{"error code":"Server Error","url":"Ocured an error in path /users","message":"userId is not defined","stack":"ReferenceError: userId is not defined\n    at registerUser (D:\\EPAM-RS\\week-0\\rsclone\\server\\src\\resources\\login\\login.service.js:37:7)\n    at processTicksAndRejections (internal/process/task_queues.js:97:5)\n    at async D:\\EPAM-RS\\week-0\\rsclone\\server\\src\\resources\\users\\user.router.js:29:19\n    at async D:\\EPAM-RS\\week-0\\rsclone\\server\\src\\errors\\catchError.js:3:12","level":"error","timestamp":"2021-01-19 09:43:14"}
>>>>>>> a353daa0aca602a4697e70ccf1c445531f4acc98
{"Method":"GET","Path":"/boards","Query params":"{}","Body":"{}","level":"info","message":"Request log","timestamp":"2021-01-20 17:53:37"}
{"Method":"GET","Path":"/boards","Query params":"{}","Body":"{}","level":"info","message":"Request log","timestamp":"2021-01-20 17:53:37"}
{"Method":"GET","Path":"/boards","Query params":"{}","Body":"{}","level":"info","message":"Request log","timestamp":"2021-01-20 17:53:40"}
{"Method":"GET","Path":"/boards","Query params":"{}","Body":"{}","level":"info","message":"Request log","timestamp":"2021-01-20 17:53:40"}
{"Method":"GET","Path":"/boards","Query params":"{}","Body":"{}","level":"info","message":"Request log","timestamp":"2021-01-20 17:53:42"}
{"Method":"GET","Path":"/boards","Query params":"{}","Body":"{}","level":"info","message":"Request log","timestamp":"2021-01-20 17:53:42"}
{"Method":"PUT","Path":"/boards/29d07680-72ec-4523-9835-6d02c61cdebc","Query params":"{}","Body":"{\"isFavorite\":false}","level":"info","message":"Request log","timestamp":"2021-01-20 17:53:45"}
{"Method":"PUT","Path":"/boards/29d07680-72ec-4523-9835-6d02c61cdebc","Query params":"{}","Body":"{\"isFavorite\":false}","level":"info","message":"Request log","timestamp":"2021-01-20 17:53:45"}
{"Method":"GET","Path":"/boards","Query params":"{}","Body":"{}","level":"info","message":"Request log","timestamp":"2021-01-20 17:53:45"}
{"Method":"GET","Path":"/boards","Query params":"{}","Body":"{}","level":"info","message":"Request log","timestamp":"2021-01-20 17:53:45"}
{"Method":"PUT","Path":"/boards/08840449-d3a3-4124-8a45-9e186a153b30","Query params":"{}","Body":"{\"isFavorite\":false}","level":"info","message":"Request log","timestamp":"2021-01-20 17:59:12"}
{"Method":"PUT","Path":"/boards/08840449-d3a3-4124-8a45-9e186a153b30","Query params":"{}","Body":"{\"isFavorite\":false}","level":"info","message":"Request log","timestamp":"2021-01-20 17:59:12"}
{"Method":"GET","Path":"/boards","Query params":"{}","Body":"{}","level":"info","message":"Request log","timestamp":"2021-01-20 17:59:12"}
